# deli	frac	dwell	dt	stdev
2.945639147735578920e-10	5.847337488026402852e-01	1.880398495681203485e+03	0.000000000000000000e+00	2.375157077974018038e-01
2.964905958597922498e-10	5.825756049412366133e-01	4.837196130243095467e+03	1.143498285201371839e-01	2.111836277705106957e-01
2.984353496465787305e-10	5.804984119517715424e-01	4.309196552642757524e+03	2.847458522033182171e-01	1.983891331683524106e-01
2.955084711362495185e-10	5.814190736675910465e-01	5.522155582275534471e+03	8.794624964300028214e-02	1.874358738253042445e-01
2.818315823242261006e-10	5.725107253572649935e-01	5.039515968387225257e+03	2.367686905850475421e-01	2.123469989530613333e-01
2.807701676756522424e-10	5.648434278599028247e-01	4.601276318978944801e+03	2.651757878593697382e-01	2.303205314729343811e-01
2.891617883230697455e-10	5.759751308210306897e-01	5.731915414467668597e+03	1.698152241478206870e+00	2.300305831407591650e-01
2.882487413439676806e-10	5.780316080447462923e-01	6.527514777988177229e+03	4.680020255983795285e-02	2.066829850835256444e-01
2.889799964125372450e-10	5.738964921802999219e-01	6.092635125891899406e+03	1.311769350584519600e-01	2.242167646755430788e-01
2.902722489351626584e-10	5.728529812081681882e-01	6.166075067139946441e+03	5.816083347133322451e-02	2.163170771343941867e-01
2.820087281091462037e-10	5.626738896982239613e-01	4.712876229699016221e+03	3.690069047944761343e-02	2.266308209667657336e-01
2.798019713710156688e-10	5.514104329811109206e-01	1.231199015040787970e+02	1.573313941348847000e-01	5.769910248412742915e-01
2.828946603862843700e-10	5.636285968243248679e-01	5.830075335939731303e+03	2.145775883379293369e-01	2.194405950354328116e-01
2.765924766691036374e-10	5.532092065896991873e-01	5.725195419843664240e+03	5.093851924918459811e-02	2.191746478725897229e-01
2.895193376465226842e-10	5.716784318022585243e-01	8.133353493317204993e+03	6.023347181322254856e-02	2.121185531046376749e-01
2.804683736411043947e-10	5.659289665866734653e-01	6.644634684292252132e+03	4.032951973638421173e-01	2.217842157684784543e-01
2.824128026088092856e-10	5.837088820977285319e-01	5.713915428867657283e+03	2.977552817957745401e-01	2.422047037443455786e-01
2.798644980074076113e-10	5.637081693956605966e-01	5.742955405635675561e+03	5.326795738563409183e-02	2.147877043270131903e-01
